outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
HUST,RWTH,0.029999999999999999,48,105140,0.20269732789147565
HUST,RWTH,0.02,48,105140,0.20444425731453764
HUST,RWTH,0.014999999999999999,48,105140,0.20616674529932796
HUST,RWTH,0.01,48,105140,0.20966463425125584
HUST,RWTH,0.0050000000000000001,48,105140,0.21986353867493569
HUST,SDU,1,86,48716,0.059828787854064751
HUST,SDU,0.5,86,48716,0.056576800077368226
HUST,SDU,0.20000000000000001,86,48716,0.050844910235918438
HUST,SDU,0.10000000000000001,86,48716,0.04629368671554486
HUST,SDU,0.050000000000000003,86,48716,0.04591313279426272
HUST,SDU,0.029999999999999999,86,48716,0.047390667039239658
HUST,SDU,0.02,86,48716,0.048131246193042633
HUST,SDU,0.014999999999999999,86,48716,0.04793973256599135
HUST,SDU,0.01,86,48716,0.046727786051436085
HUST,SDU,0.0050000000000000001,86,48716,0.047152917290142572
HUST,SNL,1,61,96092,0.055071104532486377
HUST,SNL,0.5,61,96092,0.051647349912430286
HUST,SNL,0.20000000000000001,61,96092,0.050232597063762062
HUST,SNL,0.10000000000000001,61,96092,0.051499011491766708
HUST,SNL,0.050000000000000003,61,96092,0.053260474901827906
HUST,SNL,0.029999999999999999,61,96092,0.055407334508737444
HUST,SNL,0.02,61,96092,0.058051634034956896
HUST,SNL,0.014999999999999999,61,96092,0.060477955473125955
HUST,SNL,0.01,61,96092,0.064798239896298987
HUST,SNL,0.0050000000000000001,61,96092,0.075636812930910277
HUST,UL_PUR,1,10,2195,0.063047046853763083
HUST,UL_PUR,0.5,10,2195,0.060582636621108465
